Actor,Target,Time
7,4,1230
7,16,1400
7,4,1405
7,1,1413
7,31,1425
7,13,1432
7,5,1444
7,8,1470
7,5,1475
7,31,1478
7,13,1482
7,1,1511
7,31,1562
7,11,1586
7,47,1594
7,47,1609
7,8,1614
7,1,1633
7,5,1649
7,29,1673
7,6,1682
7,13,1720
19,7,12
19,7,115
19,7,124
19,7,134
19,32,328
19,32,408
19,3,675
19,18,682
19,9,939
19,52,1048
19,52,1062
19,17,1081
19,20,1092
19,42,1123
19,17,1128
19,43,1145
19,45,1156
19,53,1167
19,54,1185
19,43,1201
19,55,1241
19,43,1253
19,40,1275
19,56,1293
19,40,1304
19,57,1323
19,33,1350
19,55,1355
19,33,1357
19,57,1387
19,56,1395
19,56,1410
19,55,1550
19,56,1555
19,40,1567
19,46,1584
19,40,1598
19,37,1654
19,20,1671
19,20,1702
19,17,1736
58,38,919
58,28,931
58,37,938
58,2,947
58,40,997
58,37,1020
58,37,1056
58,57,1124
58,59,1201
58,59,1295
58,59,1327
58,17,1663
58,4,1730
37,31,366
37,28,632
37,28,802
37,39,930
37,39,937
37,30,947
37,39,954
37,48,962
37,40,981
37,40,989
37,59,1037
37,36,1054
37,41,1058
37,43,1063
37,38,1085
37,48,1090
37,48,1094
37,52,1144
37,41,1154
37,52,1158
37,40,1178
37,48,1207
37,39,1215
37,31,1227
37,39,1302
37,48,1346
37,48,1707
31,7,74
31,7,79
31,7,123
31,9,976
31,58,995
31,37,1033
31,37,1041
31,47,1053
31,57,1098
31,7,1162
31,26,1197
31,19,1205
31,39,1222
31,37,1228
31,52,1315
31,48,1344
31,4,1584
31,19,1654
39,48,636
39,37,881
39,37,931
39,37,1311
39,34,1569
60,61,89
60,61,113
60,35,785
60,61,827
60,35,1345
60,61,1388
60,35,1432
60,61,1565
60,44,1573
60,61,1593
61,60,102
61,60,810
61,35,1537
61,38,1635
61,39,1640
61,4,0
61,52,1705
61,37,1719
61,39,1733
35,60,695
35,29,787
35,60,794
35,39,796
35,61,1377
35,60,1407
35,29,1489
35,61,1538
35,34,1551
35,25,1555
35,22,1570
35,61,1616
35,60,1637
35,60,1658
35,9,1666
35,26,1679
35,4,1681
35,26,1686
35,4,1693
35,45,1707
35,38,1709
35,55,1712
35,41,1723
22,35,1430
22,35,1511
22,35,1578
22,29,1594
22,30,1629
22,3,1654
22,3,1666
22,30,1669
44,45,695
44,39,762
44,62,797
44,45,838
44,53,875
44,53,890
44,15,1015
44,15,1022
44,38,1203
44,38,1227
44,45,1237
44,29,1308
44,60,1550
44,63,1579
44,62,1581
44,60,1625
45,52,350
45,48,654
45,48,690
45,44,695
45,62,706
45,62,716
45,44,723
45,52,765
45,52,789
45,62,799
45,42,809
45,55,814
45,44,838
45,42,980
45,58,987
45,40,990
45,38,996
45,2,1006
45,38,1012
45,53,1014
45,53,1136
45,19,1158
45,62,1209
45,50,1246
45,15,1251
45,29,1264
45,63,1268
45,44,1285
45,53,1296
45,38,1299
45,43,1301
45,53,1336
45,26,1580
45,63,1581
45,26,1703
29,64,102
29,35,781
29,62,785
29,62,823
29,46,833
29,53,834
29,26,847
29,46,884
29,44,898
29,8,903
29,8,924
29,5,1100
29,9,1245
29,45,1266
29,63,1278
29,9,1282
29,2,1292
29,44,1308
29,5,1466
29,5,1516
29,6,1540
29,5,1588
64,29,88
64,2,337
64,29,786
64,62,791
64,12,819
64,62,828
64,8,835
64,9,844
64,8,873
64,65,896
64,51,915
64,65,1005
64,2,1213
64,26,1219
64,65,1489
64,63,1737
8,9,45
8,2,53
8,15,57
8,15,77
8,51,292
8,65,327
8,49,343
8,7,357
8,50,469
8,51,525
8,2,613
8,2,744
8,12,792
8,12,812
8,62,831
8,12,849
8,9,857
8,6,933
8,5,938
8,6,948
8,4,956
8,10,982
8,11,1004
8,7,1016
8,1,1037
8,25,1122
8,9,1152
8,31,1165
8,9,1205
8,4,1213
8,5,1464
8,1,1476
8,36,1505
8,5,1529
8,5,1567
8,10,1573
8,13,1684
8,13,1702
8,13,1742
9,8,27
9,8,59
9,6,60
9,8,131
9,35,815
9,12,833
9,64,845
9,5,885
9,28,897
9,58,899
9,20,905
9,18,945
9,20,958
9,28,984
9,17,1055
9,30,1086
9,16,1111
9,7,1118
9,8,1124
9,1,1130
9,7,1142
9,10,1149
9,8,1152
9,31,1168
9,6,1181
9,12,1194
9,4,1203
9,12,1204
9,8,1206
9,7,1210
9,36,1213
9,29,1240
9,22,1277
9,29,1282
9,10,1286
9,6,1290
9,63,1297
9,50,1476
9,26,1480
9,15,1482
9,63,1496
9,50,1519
9,63,1528
9,50,1552
9,63,1564
9,50,1622
9,63,1626
9,50,1655
9,50,1664
9,50,1677
9,63,1708
50,8,13
50,2,25
50,8,42
50,15,49
50,2,52
50,15,55
50,2,61
50,66,65
50,2,67
50,15,80
50,2,104
50,15,123
50,15,137
50,6,167
50,6,301
50,66,305
50,6,320
50,63,341
50,8,348
50,15,354
50,49,360
50,15,384
50,51,406
50,51,444
50,15,492
50,51,495
50,66,524
50,15,534
50,51,672
50,6,744
50,15,758
50,66,769
50,15,791
50,12,842
50,2,880
50,62,916
50,66,980
50,62,1025
50,15,1165
50,15,1187
50,31,1238
50,62,1250
50,63,1259
50,67,1275
50,67,1292
50,62,1430
50,15,1437
50,63,1480
50,9,1530
50,63,1537
50,15,1572
50,6,1577
50,15,1588
50,63,1613
50,9,1622
50,63,1624
50,9,1655
50,9,1677
50,67,1698
50,63,1707
50,67,1726
50,6,1744
15,50,48
15,14,52
15,50,54
15,66,60
15,14,61
15,6,64
15,49,68
15,14,72
15,49,74
15,66,103
15,50,108
15,66,136
15,49,226
15,14,245
15,4,251
15,66,260
15,4,265
15,14,269
15,6,299
15,51,302
15,51,319
15,51,322
15,49,325
15,51,330
15,66,336
15,66,347
15,14,349
15,14,361
15,50,381
15,14,397
15,66,427
15,14,461
15,66,534
15,50,559
15,66,561
15,2,659
15,51,662
15,66,668
15,2,683
15,4,685
15,2,692
15,66,699
15,66,705
15,14,712
15,66,845
15,50,862
15,50,876
15,50,883
15,12,945
15,7,971
15,62,973
15,62,1064
15,50,1109
15,12,1138
15,12,1150
15,50,1164
15,50,1234
15,6,1246
15,50,1250
15,63,1258
15,6,1269
15,63,1275
15,50,1534
15,63,1541
15,2,1572
15,6,1579
15,50,1588
15,63,1652
15,63,1664
15,50,1715
15,14,1729
15,6,1735
15,50,1744
49,14,50
49,14,62
49,15,67
49,14,86
49,15,135
49,15,227
49,4,250
49,4,258
49,4,272
49,51,287
49,51,310
49,15,325
49,51,335
49,63,338
49,14,346
49,7,349
49,66,358
49,7,360
49,50,368
49,14,373
63,14,336
63,49,339
63,6,1260
63,15,1265
63,45,1267
63,31,1277
63,29,1296
63,41,1346
63,9,1464
63,50,1485
63,9,1497
63,9,1518
63,41,1526
63,41,1533
63,50,1546
63,9,1549
63,26,1569
63,41,1576
63,44,1579
63,45,1581
63,9,1586
63,50,1588
63,9,1599
63,50,1612
63,67,1621
63,62,1628
63,67,1634
63,14,1662
63,66,1683
63,66,1696
63,67,1699
63,9,1707
63,9,1709
63,26,1727
63,31,1747
51,49,285
51,15,301
51,66,306
51,15,313
51,49,315
51,15,322
51,15,331
51,49,334
51,7,365
51,7,386
51,50,405
51,11,427
51,50,430
51,50,463
51,50,495
51,8,520
51,4,592
51,4,620
51,7,623
51,2,654
51,15,660
51,50,672
51,65,678
51,65,685
51,12,695
51,64,920
51,2,1184
51,65,1528
51,68,1647
14,4,249
14,51,278
14,63,337
14,63,347
14,49,373
14,66,422
14,66,467
14,15,528
14,63,1258
14,66,1459
14,66,1553
14,15,1569
14,63,1663
14,66,1680
14,67,1703
14,66,1710
4,14,248
4,49,250
4,15,253
4,49,256
4,49,266
4,49,269
4,7,287
4,7,302
4,7,317
4,1,321
4,7,322
4,3,327
4,1,348
4,11,352
4,3,354
4,16,361
4,13,369
4,7,412
4,7,542
4,51,592
4,7,599
4,1,636
4,2,696
4,7,708
4,1,721
4,7,725
4,7,833
4,6,914
4,7,943
4,1,968
4,9,1198
4,8,1213
4,7,1219
4,9,1221
4,36,1233
4,11,1498
4,7,1513
4,10,1529
4,36,1541
4,21,1545
4,3,1559
4,28,1567
4,48,1580
4,40,1583
4,40,1608
4,57,1623
4,56,1629
4,61,1644
4,55,1670
4,46,1673
4,26,1674
4,35,1681
4,54,1688
4,68,1693
4,46,1697
4,38,1702
4,58,1705
4,57,1706
4,40,1724
4,32,1735
4,32,1746
67,66,1275
67,15,1287
67,62,1434
67,66,1455
67,66,1473
67,62,1506
67,62,1529
67,62,1568
67,63,1631
67,50,1634
67,15,1682
67,15,1728
67,7,1737
66,15,58
66,14,64
66,15,109
66,15,253
66,15,292
66,14,302
66,51,307
66,65,315
66,14,319
66,51,325
66,14,341
66,63,344
66,49,355
66,49,371
66,14,465
66,15,530
66,15,623
66,15,669
66,15,705
66,2,712
66,15,853
66,12,958
66,63,1259
66,67,1266
66,67,1293
66,62,1302
66,67,1341
66,65,1355
66,51,1370
66,65,1376
66,67,1401
66,67,1474
66,62,1496
66,15,1503
66,63,1508
66,4,1522
66,62,1605
66,50,1631
66,63,1634
66,50,1650
66,9,1682
66,63,1704
66,50,1726
65,66,296
65,51,680
65,12,767
65,62,1253
65,66,1353
65,66,1376
65,37,1448
65,51,1476
65,31,1495
65,51,1538
65,2,1570
12,62,582
12,51,693
12,65,726
12,15,768
12,8,793
12,15,797
12,8,821
12,9,831
12,64,844
12,15,861
12,15,944
12,14,948
12,66,956
12,50,1069
12,66,1076
12,14,1135
12,15,1140
12,15,1151
12,9,1197
12,6,1213
12,6,1229
12,13,1519
12,1,1591
12,6,1646
12,63,1690
62,6,112
62,2,516
62,65,548
62,65,564
62,2,577
62,12,582
62,12,590
62,69,633
62,26,637
62,26,644
62,53,659
62,45,705
62,42,730
62,52,734
62,44,744
62,45,799
62,42,809
62,29,823
62,64,828
62,66,847
62,9,885
62,64,903
62,50,914
62,7,920
62,50,977
62,50,1016
62,65,1246
62,65,1253
62,66,1299
62,65,1338
62,66,1342
62,66,1349
62,50,1365
62,50,1376
62,67,1437
62,66,1497
62,67,1511
62,67,1531
62,67,1549
62,63,1622
62,31,1693
6,2,30
6,15,57
6,14,65
6,8,78
6,65,104
6,69,118
6,46,120
6,65,155
6,15,300
6,66,319
6,2,380
6,50,677
6,2,730
6,15,742
6,2,766
6,12,819
6,50,868
6,66,887
6,4,911
6,5,918
6,8,932
6,1,935
6,8,940
6,9,1189
6,15,1255
6,63,1279
6,15,1475
6,13,1535
6,63,1546
6,50,1577
6,15,1591
6,13,1622
6,13,1629
6,12,1648
6,15,1736
6,50,1743
26,2,505
26,2,583
26,2,777
26,29,873
26,31,1219
26,53,1311
26,46,1323
26,43,1354
26,63,1571
26,35,1679
26,62,1690
26,53,1711
26,63,1728
69,6,119
69,2,133
69,68,169
69,4,1690
69,54,1704
46,6,121
46,2,396
46,36,618
46,26,725
46,29,834
46,26,877
46,2,1139
46,31,1231
46,26,1308
46,4,1684
46,54,1695
46,4,1698
46,70,1702
46,55,1705
46,56,1709
46,43,1714
2,46,1
2,50,8
2,6,31
2,26,42
2,53,46
2,54,50
2,50,56
2,15,64
2,8,69
2,14,74
2,1,81
2,15,103
2,50,105
2,46,130
2,69,134
2,26,145
2,8,171
2,26,180
2,53,204
2,26,237
2,8,271
2,6,279
2,50,308
2,8,326
2,50,341
2,66,350
2,26,363
2,68,387
2,46,393
2,53,407
2,53,412
2,26,476
2,62,514
2,12,570
2,26,598
2,8,612
2,51,658
2,15,683
2,15,693
2,7,697
2,15,706
2,14,707
2,66,715
2,15,727
2,50,731
2,50,747
2,64,750
2,50,759
2,15,764
2,12,771
2,26,776
2,41,793
2,70,794
2,41,796
2,47,797
2,56,798
2,33,799
2,41,837
2,52,869
2,40,912
2,40,937
2,40,969
2,31,1041
2,36,1080
2,46,1142
2,62,1234
2,45,1248
2,15,1275
2,6,1293
2,9,1334
2,63,1586
53,54,20
53,2,231
53,42,253
53,2,408
53,62,647
53,29,834
53,44,876
53,44,889
53,2,1134
53,45,1136
53,46,1159
53,45,1302
53,26,1311
53,35,1704
53,26,1711
54,53,22
54,2,50
54,29,65
54,2,208
54,64,220
54,64,238
54,44,311
54,64,344
54,48,357
54,56,373
54,47,389
54,55,395
54,33,400
54,41,461
54,71,477
54,71,554
54,36,641
54,55,780
54,71,833
54,70,846
54,70,861
54,70,968
54,70,1152
54,71,1221
54,4,1698
54,69,1715
54,51,1742
42,53,263
42,62,808
42,45,842
42,53,851
42,55,886
42,52,888
42,45,982
42,39,1042
42,9,1053
42,28,1114
42,28,1124
42,36,1182
42,20,1197
42,52,1216
42,48,1227
42,58,1237
42,56,1250
42,55,1254
42,56,1324
42,17,1341
42,19,1572
42,4,1655
42,38,1689
42,47,1699
42,35,1720
42,35,1732
52,7,87
52,48,191
52,45,311
52,45,752
52,2,790
52,48,808
52,40,828
52,2,867
52,45,874
52,48,878
52,55,884
52,41,901
52,40,911
52,57,941
52,38,949
52,57,955
52,57,970
52,59,977
52,40,1011
52,32,1020
52,19,1047
52,19,1062
52,48,1086
52,45,1093
52,43,1109
52,36,1132
52,19,1138
52,37,1144
52,58,1156
52,48,1191
52,48,1214
52,17,1220
52,20,1233
52,3,1246
52,28,1531
52,3,1556
52,24,1566
52,3,1644
52,3,1691
52,28,1702
52,47,1729
52,28,1734
70,46,634
70,36,826
70,54,968
70,54,1137
70,54,1190
70,54,1704
70,46,1721
36,56,120
36,56,234
36,71,421
36,71,578
36,71,615
36,46,618
36,54,640
36,71,650
36,70,723
36,70,746
36,69,794
36,54,851
36,71,868
36,33,897
36,33,905
36,50,948
36,47,950
36,59,954
36,50,973
36,56,1014
36,37,1055
36,41,1068
36,33,1080
36,56,1081
36,59,1086
36,43,1104
36,55,1118
36,38,1127
36,39,1137
36,37,1158
36,37,1181
36,18,1183
36,3,1191
36,20,1196
36,17,1203
36,7,1211
36,9,1215
36,4,1227
36,8,1503
36,8,1540
36,25,1561
36,21,1566
36,3,1588
36,4,1611
36,57,1638
36,47,1642
36,59,1665
36,72,1668
36,33,1695
43,41,708
43,53,1005
43,38,1010
43,38,1018
43,54,1021
43,55,1056
43,37,1063
43,38,1079
43,41,1091
43,55,1113
43,33,1131
43,38,1164
43,38,1173
43,38,1238
43,39,1247
43,19,1253
43,38,1284
43,45,1295
43,54,1313
43,53,1349
43,26,1352
43,46,1355
43,55,1373
43,70,1546
43,33,1616
43,70,1631
43,56,1681
43,46,1713
43,55,1743
48,40,3
48,41,36
48,7,84
48,41,93
48,52,267
48,45,654
48,38,874
48,2,910
48,45,979
48,58,1081
48,37,1095
48,17,1181
48,45,1213
48,17,1256
48,31,1345
48,37,1347
48,37,1706
48,17,1731
56,41,3
56,33,22
56,71,27
56,71,44
56,71,71
56,70,102
56,71,118
56,36,120
56,33,157
56,33,182
56,70,190
56,70,228
56,36,234
56,71,256
56,33,290
56,41,332
56,72,346
56,72,353
56,47,364
56,33,379
56,33,424
56,72,491
56,72,505
56,72,554
56,59,581
56,55,601
56,72,633
56,72,695
56,72,767
56,33,776
56,72,780
56,72,869
56,47,876
56,71,986
56,36,1013
56,36,1080
56,41,1140
56,72,1218
56,33,1240
56,17,1283
56,58,1431
56,17,1463
56,58,1480
56,19,1561
56,55,1609
56,4,1630
56,55,1635
56,38,1637
56,43,1681
56,70,1690
56,70,1701
56,43,1704
56,46,1706
56,38,1743
56,55,1746
41,48,94
41,47,651
41,43,680
41,43,698
41,47,741
41,33,746
41,47,789
41,2,793
41,33,889
41,55,895
41,52,901
41,52,927
41,40,943
41,43,1006
41,54,1015
41,70,1018
41,38,1058
41,33,1063
41,36,1068
41,2,1073
41,55,1085
41,56,1138
41,37,1155
41,58,1162
41,40,1187
41,55,1232
41,19,1241
41,48,1254
41,38,1324
41,44,1338
41,63,1346
41,9,1481
41,53,1522
41,63,1559
41,9,1575
41,44,1582
41,9,1589
41,63,1594
41,26,1622
41,53,1636
41,53,1678
41,5,1719
71,56,46
71,56,72
71,56,264
71,36,422
71,54,476
71,36,517
71,54,701
71,72,769
71,54,845
71,54,863
71,36,877
71,70,1161
71,70,1257
33,47,38
33,41,46
33,56,50
33,71,129
33,56,156
33,56,183
33,43,212
33,56,341
33,72,346
33,56,427
33,47,538
33,47,549
33,72,620
33,49,661
33,47,691
33,9,709
33,55,736
33,56,778
33,59,784
33,2,811
33,41,892
33,2,1080
33,41,1106
33,43,1129
33,19,1352
33,70,1384
33,46,1388
33,72,1535
33,43,1616
33,56,1680
72,71,55
72,32,89
72,32,189
72,47,256
72,47,326
72,56,354
72,56,383
72,56,517
72,50,548
72,2,804
72,47,825
72,36,950
72,36,962
72,59,1061
72,47,1131
72,59,1321
72,47,1350
72,59,1398
72,47,1594
72,59,1623
72,36,1687
55,47,492
55,33,712
55,41,734
55,54,780
55,43,785
55,38,981
55,19,1246
55,56,1637
55,4,1670
55,46,1710
55,56,1748
47,33,38
47,32,97
47,33,101
47,72,216
47,72,326
47,56,347
47,59,381
47,59,393
47,72,445
47,72,475
47,59,486
47,55,508
47,72,533
47,33,537
47,54,548
47,41,600
47,33,619
47,33,689
47,33,705
47,72,722
47,71,734
47,72,742
47,33,772
47,72,847
47,59,914
47,59,1002
47,58,1177
47,59,1197
47,58,1234
47,57,1259
47,72,1325
47,72,1366
47,72,1415
47,59,1505
47,72,1511
47,72,1594
47,57,1638
47,36,1646
47,57,1651
47,38,1680
47,38,1703
47,4,1704
47,35,1710
47,35,1718
47,38,1720
47,52,1728
47,28,1743
40,59,735
40,2,827
40,57,831
40,33,935
40,2,940
40,41,944
40,2,969
40,33,985
40,58,996
40,57,1007
40,9,1037
40,52,1041
40,57,1070
40,52,1092
40,36,1148
40,48,1152
40,37,1177
40,19,1276
40,28,1286
40,28,1317
40,4,1582
40,4,1615
40,57,1697
40,57,1737
40,57,1745
40,4,1749
17,57,116
17,40,343
17,38,359
17,37,363
17,30,370
17,10,374
17,28,453
17,10,458
17,10,474
17,3,507
17,10,522
17,21,532
17,28,546
17,30,584
17,38,649
17,21,757
17,37,811
17,38,839
17,3,856
17,3,922
17,7,982
17,30,983
17,7,1026
17,19,1082
17,19,1128
17,52,1219
17,48,1231
17,28,1242
17,40,1253
17,48,1256
17,56,1285
17,56,1430
17,40,1441
17,37,1446
17,56,1463
17,19,1473
17,37,1497
17,41,1518
17,48,1526
17,37,1531
17,30,1543
17,28,1547
17,4,1560
17,19,1735
57,32,38
57,40,829
57,40,845
57,52,950
57,52,1003
57,58,1125
57,58,1182
57,19,1282
57,19,1324
57,47,1635
57,36,1671
59,32,49
59,32,161
59,47,382
59,47,505
59,56,565
59,33,784
59,52,985
59,47,1007
59,47,1041
59,47,1056
59,72,1061
59,36,1072
59,58,1297
59,72,1399
59,72,1624
32,57,37
32,7,38
32,72,89
32,47,97
32,59,137
32,47,152
32,59,161
32,18,325
32,57,1139
32,28,1426
32,18,1570
32,4,1738
