Actor,Target,Time
1,2,1093
1,2,1104
1,2,1121
1,2,1161
1,3,1214
1,3,1232
1,3,1247
1,2,1294
1,4,1329
1,5,1415
2,6,153
2,6,175
2,6,950
2,7,1008
2,7,1028
2,1,1090
2,1,1103
2,6,1127
2,8,1141
2,1,1160
2,1,1170
2,3,1238
2,3,1267
2,3,1310
2,8,1320
2,3,1357
2,5,1408
9,10,875
9,11,1051
9,12,1111
9,12,1164
9,3,1290
9,3,1300
9,3,1359
9,8,1438
8,9,278
8,9,1048
8,9,1065
8,7,1080
8,2,1084
8,13,1118
8,2,1140
8,12,1238
8,3,1245
8,12,1265
8,7,1288
8,9,1425
8,14,1435
6,2,182
6,2,1066
6,7,1112
6,12,1234
6,12,1264
6,8,1318
6,4,1435
6,4,1438
7,15,994
7,12,1005
7,6,1048
7,15,1115
7,12,1146
7,16,1235
7,14,1299
7,14,1310
15,17,980
15,17,1037
15,13,1099
15,3,1151
15,18,1160
15,3,1163
15,3,1170
15,4,1209
15,19,1273
15,20,1288
15,17,1298
15,20,1305
15,17,1312
15,21,1352
15,16,1375
12,7,994
12,17,1000
12,17,1002
12,7,1004
12,13,1018
12,21,1047
12,11,1099
12,13,1105
12,7,1120
12,6,1168
12,16,1212
12,2,1216
12,6,1234
12,8,1260
12,6,1263
12,9,1277
12,5,1288
12,9,1295
12,9,1303
12,3,1306
12,3,1332
22,13,1032
22,15,1055
22,15,1067
22,13,1088
22,7,1120
22,16,1158
22,3,1188
22,23,1238
22,24,1424
22,25,1426
23,26,527
23,26,568
23,27,688
23,10,888
23,13,1055
23,28,1114
23,28,1123
23,3,1184
23,22,1255
23,4,1374
23,4,1404
23,4,1414
23,4,1429
23,5,1434
29,21,915
29,30,996
29,30,1128
26,21,527
26,23,572
26,27,593
26,27,606
26,24,704
26,21,732
26,21,819
26,15,833
26,21,838
26,15,844
26,31,891
26,3,953
26,3,968
26,32,975
26,33,980
26,24,992
26,32,1025
26,20,1075
26,24,1080
26,24,1100
26,20,1160
26,32,1200
26,27,1220
26,24,1235
26,4,1254
26,17,1417
21,22,5
21,13,11
21,13,35
21,34,75
21,34,188
21,34,207
21,27,224
21,34,267
21,26,408
21,26,529
21,24,607
21,24,668
21,26,732
21,5,740
21,26,744
21,35,754
21,24,760
21,24,781
21,27,808
21,16,812
21,31,822
21,16,824
21,32,828
21,36,832
21,24,892
21,32,893
21,29,914
21,27,924
21,27,965
21,13,975
21,37,1007
21,12,1049
21,11,1069
21,38,1077
21,35,1112
21,39,1120
21,39,1125
21,40,1137
21,35,1144
21,41,1157
21,40,1175
21,38,1194
21,38,1207
21,11,1208
21,5,1275
21,12,1387
34,21,77
34,24,159
34,24,172
34,21,188
34,21,207
34,24,225
34,31,246
34,31,261
34,24,267
34,31,272
34,24,305
34,24,407
34,36,408
34,24,678
34,42,696
34,21,744
34,35,811
34,26,833
34,13,874
34,43,895
34,43,910
34,43,915
34,33,994
34,44,1217
34,44,1219
34,19,1274
34,36,1300
34,45,1312
34,36,1317
34,46,1411
30,26,140
30,26,242
30,26,315
30,26,566
30,26,595
30,27,601
30,27,750
30,27,817
30,27,960
30,29,998
30,27,1074
30,29,1135
30,47,1153
30,47,1282
30,43,1364
48,47,80
48,47,140
48,47,158
48,32,198
48,49,1027
47,50,7
47,50,19
47,48,125
47,48,141
47,32,370
47,48,398
47,49,1024
47,30,1154
47,30,1245
47,48,1275
47,30,1279
47,43,1303
47,43,1325
47,29,1349
47,43,1344
32,48,199
32,47,369
32,27,383
32,30,389
32,31,413
32,31,415
32,31,750
32,31,781
32,31,807
32,24,831
32,36,837
32,26,872
32,31,881
32,43,890
32,31,903
32,26,908
32,5,920
32,5,938
32,50,966
